假名	词性	汉字	含义
たなか	专有词	田中	田中
にほん	专有词	日本	日本
おう	专有词	王	王
とうきょうだいがく	专有词	東京大学	东京大学
やました	专有词	山下	山下
スミス	专有词	スミス	史密斯
アメリカ	专有词	アメリカ	美国
ちょう	专有词	張	张
フランス	专有词	フランス	法国
とうきょう	专有词	東京	东京
ペキン	专有词	北京	北京
うえの	专有词	上野	上野
シャンハイ	专有词	上海	上海
しんじゅく	专有词	新宿	新宿
じゅんこ	专有词	純子	纯子
きちじょうじ	专有词	吉祥寺	吉祥寺
ふじさん	专有词	富士山	富士山
きょうと	专有词	京都	京都
りょうあんじ	专有词	龍安寺	龙安寺
ペキンだいがく	专有词	北京大学	北京大学
きょじん	专有词	巨人	巨人队
はんしん	专有词	阪神	阪神队
ちん	专有词	陳	陈
やまだ	专有词	山田	山田
きた	专有词	北	北
ほっかいどう	专有词	北海道	北海道
おきなわ	专有词	沖縄	冲绳
ぶんかのひ	专有词	文化の日	文化日，文化节
さとう	专有词	佐藤	佐藤
わるくち	专有词	悪口	坏话
おりひめ	专有词	織姫	织女
たいしょう	专有词	大正	大正
かんとう	专有词	関東	日本关东地区
かんとうだいしんさい	专有词	関東大震災	关东大地震
つぼいちゅうじ	专有词	坪井忠二	坪井忠二(人名)
うすめる	专有词	薄める	冲淡；稀释；淡化
いしかわたくぼく	专有词	石川啄木	石川啄木
いわてけん	专有词	岩手県	岩手县
じょうえつ	专有词	上越	上越
あおもり	专有词	青森	青森
ねぶたまつり	专有词	ねぶた祭り	倭武多节
かんさい	专有词	関西	关西
えど	专有词	江戸	江户（时代）
きょう	专有词	京	京(京都的旧称)
とうかいどう	专有词	東海道	东海道
ひかりごう	专有词	ひかり号	光号
げん	专有词	元	元代，元朝
せいあん	专有词	西安	西安
まるやまこうえん	专有词	円山公園	圆山公园
きよみずのぶたい	专有词	清水の舞台	清水寺的舞台
だいがんとう	专有词	大願塔	大雁塔
だいもんじやき	专有词	大文字焼き	大字篝火
あらしやま	专有词	嵐山	岚山
しゅうおんらい	专有词	周恩来	周恩来
こくれん	专有词	国連	联合国
ユーゴスラビア	专有词	ユーゴスラビア	南斯拉夫
ザグレブし	专有词	ザグレブ市	萨格勒布市
マティ	专有词	マティ	马迪
デクエアル	专有词	デクエアル	德奎利亚尔
キム	专有词	金	金
レオナルド・ダ・ビンチ	专有词	レオナルド・ダ・ビンチ	列奥纳多・达・芬奇
ライドきょうだい	专有词	ライド兄弟	莱特兄弟
ようすこう	专有词	揚子江	长江
せんきょ	专有词	選挙	选举
ばくふ	专有词	幕府	幕府（源赖朝后武士总揽军政大权的中央政府）
たがいに	专有词	互いに	交互，交替，相互
めいじ	专有词	明治	明治
にほん	专有词	日本	日本
ろ	专有词	魯	鲁(姓氏)
り	专有词	李	李
こ	专有词	顧	顾(姓氏)
むしゃく	专有词	無錫	无锡,城市名
ナンキンろ	专有词	南京路	南京路
きた	专有词	北	北
きむら	专有词	木村	木村
さとう	专有词	佐藤	佐藤
とうきょう	专有词	東京	东京
ろ	专有词	呂	吕（姓氏）
わいかいろ	专有词	淮海路	淮海路
げん	专有词	元	元代，元朝
さいゆうき	专有词	西遊記	西游记（片名）
こきゅう	专有词	虎丘	虎丘（园林名）
こきゅうしゃとう	专有词	虎丘斜塔	虎丘斜塔（塔名）
せいえん	专有词	西園	西园（园林名）
かんざんじ	专有词	寒山寺	寒山寺（寺名）
ししりん	专有词	獅子林	狮子林（园林名）
たなか	专有词	田中	田中
ペキン	专有词	北京	北京
すずき	专有词	鈴木	铃木
みやもと	专有词	宮本	宫本（姓氏）
ちんたお	专有词	青島	青岛（城市名）
かんとん	专有词	広東	广东（省市名）
おう	专有词	王	王
ろめい	专有词	魯明	鲁明（人名）
あおき	专有词	青木	青木
しせん	专有词	四川	四川
ちん	专有词	陳	陈
ちょう	专有词	張	张
イタリア	专有词	イタリア	意大利
まきの	专有词	牧野	牧野（姓氏）
おうゆうみん	专有词	王友民	王友民（人字）
フランス	专有词	フランス	法国
ふじさん	专有词	富士山	富士山
しずおかけん	专有词	静岡県	静冈县（地名）
やまなしけん	专有词	山梨県	山梨县（地名）
でん	专有词	田	田（姓氏）
でんこくえい	专有词	田国栄	田国荣（人命）
おうぼする	专有词	応募	报名参加，应征；应募
キム	专有词	金	金
よしだ	专有词	吉田	吉田
たけうち	专有词	竹内	竹中（姓氏）
いしかわ	专有词	石川	石川（姓氏）
あんべ	专有词	安倍	安倍（姓氏）
アメリカ	专有词	アメリカ	美国
やまだ	专有词	山田	山田
ナンシー	专有词	ナンシー	南希（人名）
ジョン	专有词	ジョン	约翰（姓氏）
