假名	词性	汉字	含义
この	连接词	この	这，这个
その	连接词	その	那，那个
あの	连接词	あの	那，那个
どの	连接词	どの	哪个
あと	连接词	あと	另外，然后；还(差)……，再……
そんな	连接词	そんな	那样的
けれども	连接词	けれども	不过，可是，但是，然而
いろんな	连接词	いろんな	各种各样的
そうした	连接词	そうした	这种，这样的
こうした	连接词	こうした	这样的，如此的
それなのに	连接词	それなのに	尽管那样
それでも	连接词	それでも	即使那样，尽管如此，可是
なお	连接词	なお	另外，再者，而且
この	连接词	この	这，这个
あの	连接词	あの	那，那个
どの	连接词	どの	哪个
まん	连接词	満	满，整，足
ある	连接词	或る	某
おおきな	连接词	大きな	大的
ちいさな	连接词	小さな	小的
あるいは	连接词	或いは	或，或是
こういう	连接词	こういう	这种，这样
こうした	连接词	こうした	这样的，如此的
または	连接词	又は	或者
それでも	连接词	それでも	即使那样，尽管如此，可是
たいした	连接词	大した	了不起
いわゆる	连接词	所謂	所谓
なお	连接词	なお	另外，再者，而且
すなわち	连接词	即ち	即，换言之，即是
さて	连接词	さて	那么
いっぽう	连接词	一方	另一方面；一方面
ところが	连接词	ところが	然而，可是，不过
あんな	连接词	あんな	那样，那种
で	连接词	で	那么
さる	连接词	去る	（下接日期）表示刚过去的
そうして	连接词	そうして	而，又，然后
きたる	连接词	来たる	下次的
そんなら	连接词	そんなら	（それなら的口语）那么
だが	连接词	だが	但是，可是
ないし	连接词	乃至	至，乃至，或者
もっとも	连接词	尤も	话虽如此
いろんな	连接词	いろんな	各种各样的
あくる	连接词	明くる	明，翊
よし	连接词	由	听说，据说
それなのに	连接词	それなのに	尽管那样
そのうえ	连接词	その上	而且
ほんの	连接词	本の	一点点
それゆえ	连接词	それゆえ	因此，所以
あらゆる	连接词	凡ゆる	所有的
この	连接词	この	这，这个
その	连接词	その	那，那个
あの	连接词	あの	那，那个
どの	连接词	どの	哪个
おおきな	连接词	大きな	大的
ちいさな	连接词	小さな	小的
そんな	连接词	そんな	那样的
いろんな	连接词	いろんな	各种各样的
このような	连接词	このような	像这样的
あんな	连接词	あんな	那样，那种
ファン	连接词	ファン	～迷，崇拜者
