ます形(假名)	ます形(汉字)	て形	ない形	基本形	た形
あいます　会います	あって	あわない	あう	あった
あきます	開きます	あいて	あかない	あく	あいた
あそびます遊びます	あそんで	あそばない	あそぶ	あそんだ
あらいます洗います	あらって	あらわない	あらう	あらった
あります	あります	あって	ない	ある	あった
あるきます歩きます	あるいて	あるかない	あるく	あるいた
いいます	言います	いって	いわない	いう	いつた
いきます	行きます	いって	いかない	いく	いった
いそぎます急ぎます	いそいで	いそがない	いそぐ	いそいだ
うたいます歌います	うたって	うたわない	うたう	うたった
うります	売ります	うって	うらない	うる	うった
えらびます選びます	えらんで	えらばない	えらぶ	えらんだ
おきます	置きます	おいて	おかない	おく　	おいた
おくります送ります	おくって	おくらない	おくる	おうった
おとします	落とします	おとして	おとさない	おとす	おとした
おもいます	思います	おもって	おもわない	おもう	おもった
およぎます	泳ぎます	およいだ	およがない	およぐ	およいだ
おろします	下ろします	おろして	おろさない	おろす	おろした
おわります	終わります	おわって	おわらない	おわる	おわった
かいます	買います	かって	かわない	かう	かった
かえします	返します	かえして	かえさない	かえす	かえした
かえります	帰ります	かえって	かえらない	かえる	かえった
かかります	かかります	かかって	かからない	かかる	かかった
かきます	書きます	かいて	かかない	かく	かいた
かします	貸します	かして	かさない	かす	かした
かわきます	渇きます	かわいて	かわかない	かわく	かわいた
ききます	聞きます	きいて	きかない	きく	きいた
きまります	決まります	きまって	きまらない	きまる	きまった
きります	切ります	きって	きらない	きる	きった
けします	消します	けして	けさない	けす	けした
こみます	込みます	こんで	こまない	こむ	こんだ
ころびます	転びます	ころんで	ころばない	ころぶ	ころんだ
さがします	探します	さがして	さがさない	さがす	さがした
さきます	咲きます	さいて	さかない	さく	さいた
さわります	触ります	さわって	さわらない	さわる	さわった
しにます	死にます	しんで	しなない	しぬ	しんだ
しります	知ります	しって	しらない	しる	しった
すいます	吸います	すって	すわない	すう	すった
すきます	すきます	すいて	すかない	すく	すいた
すべります	滑ります	すべって	すべらない	すべる	すべった
すみます	住みます	すんで	すまない	すむ	すんだ
すわります	座ります	すわって	すわらない	すわる	すわった
だします	出します	だして	ださない	だす	だした
たちます	立ちます	たって	たたない	たつ	たった
ちがいます	違います	ちがって	ちがわない	ちがう	ちがった
つかいます	使います	つかって	つかわない	つかう	つかった
つくります	作ります	つくって	つくらない	つくる	つくった
てつだいます	手伝います	てつだって	てつだわない	てつだう	てつだった
とおります	通ります	とおって	とおらない	とおる	とおった
とどきます	届きます	とどいて	とどかない	とどく	とどいた
とびます	飛びます	とんで	とばない	とぶ	とんだ
とります	撮ります	とって	とらない	とる	とった
なおします	直します	なおして	なおさない	なおす	なおした
なおります	治ります	なおって	なおらない	なおる	なおった
なくします	なくします	なくして	なくさない	なくす	なくした
ならいます	習います	ならって	ならわない	ならう	ならった
なります	なります	なって	ならない	なる	なった
にあいます	似合います	にあって	にあわない	にあう	にあった
ぬぎます	脱ぎます	ぬいで	ぬがない	ぬぐ	ぬいだ
のぼります	登ります	のぼって	のぼらない	のぼる	のぼった
のみまう	飲みます	のんで	のまない	のむ　	のんだ
のります	乗ります	のって	のらない	のる	のった
はいります	入ります	はいって	はいらない	はいる	はいった
はこびます	運びます	はこんで	はこばない	はこぶ	はこんだ
はじまります	始まります	はじまって	はじまらない	はじまる	はじまった
はたらきます	働きます	はたらいて	はたらかない	はたらく	はたらいた
はなします	話します	はなして	はなさない	はなす	はなした
はらいます	払います	はらって	はらわない	はらう	はらった
ひきます	弾きます	ひいて	ひかない	ひく	ひいた
ふとります	太ります	ふとって	ふとらない	ふとる	ふとった
ふりまう	降ります	ふって	ふらない	ふる	ふった
まがります	曲がります	まがって	まがらない	まがる	まがった
まちます	待ちます	まって	またない	まつ	まった
まよいます	迷います	まよって	まよわない	まよう	まよった
もうします	申します	もうして	もうさない	もうす	もうした
もちます	持ちます	もって	もたない	もつ	もった
まらいます	まらいます	もらって	まらわない	もらう	もらった
やすみます	休みます	やすんで	やすまない	やすむ	やすんだ
やります	やります	やって	やらない	やる	やった
よびます	呼びます	よんで	よばない	よぶ	よんだ
よみます	読みます	よんで	よまない	よむ	よんだ
わかります	分かります	わかって	わからない	わかる	わかった
わたします	渡します	わたして	わたさない	わたす	わたした
わたります	渡ります	わたって	わたらない	わたる	わたった
わらいます	笑います	わらって	わらわない	わらう	わらった
あびます	浴びます	あびて	あびない	あびる	あびた
います	います	いて	いない	いる	いた
おきます	起きます	おきて	おきない	おきる	おきた
おります	降ります	おりて	おりない	おりる	おりた
かります	借ります	かりて	かりない	かりる	かりた
きます	着ます	きて	きない	きる	きた
すぎます	過ぎます	すぎて	すぎない	すぎる	すぎた
できます	できます	できて	できない	できる	できた
あけます	開けます	あけて	あけない	あける	あけた
あげます	あげます	あげて	あげない	あげる	あげた
あつめます	集めます	あつめて	あつめない	あつめる	あつめた
あわてます	慌てます	あわてて	あわてない	あわてる	あわてた
うまれます	生まれます	うまれて	うまれない	うまれる	うまれた
おくれます	遅れます	おくれて	おくれない	おくれる	おくれた
おしえます	教えます	おしえて	おしえない	おしえる	おしえた
かけます	かけます	かけて	かけない	かける	かけた
かたづけます	片付け魔す	かたづけて	かたづけない	かたづける	かたづけた
かんがえます	考えます	かんがえて	かんがえない	かんがえる	かんがえた
きめます	決めます	きめて	きめない	きめる	きめた
しめます	閉めます	しめて	しめない	しめる	しめた
しらせます	知らせます	しめて	しめない	しめる	しめた
しらべます	調べます	しらべて	しらべない	しらべる	しらべた
すてます	捨てます	すてて	すてない	すてる	すてた
たしかめます	確かめます	たしかめて	たしかめない	たしかめる	たしかめた
たべます	食べます	たべて	たべない	たべる	たべた
つかれます	疲れます	つかれて	つかれない	つかれる	つかれた
つけます	つけます	つけて	つけない	つける	つけた
つたえます	伝えます	つたえて	つたえない	つたえる	つたえた
でかけます	出かけます	でかけて	でかけない	でかける	でかけた
でます	出ます	でかけて	でかけない	でかける	でかけた
とめます	止めます	とめて	とめない	とめる	とめた
ねます	寝ます	ねて	ねない	ねる	ねた
はじめます	始めます	はじめて	はじめない	はじめる	はじめた
みせます	見せます	みせて	みせない	みせる	みせた
みます	見ます	みて	みない	みる	みた
やめます	やめます	やめて	やめない	やめる	やめた
わすれます	忘れます	わすれて	わすれない	わすれる	わすれた
きます	来ます	きて	こない	くる	きた
します	します	して	しない	する	した
あんしんします	安心します	あんしんして	あんしんしない	あんしんする	あんしんした
うんどうします	運動します	うんどうして	うんどうしない	うんどうする	うんどうした
がいしゅつして	外出します	がいしゅつして	がいしゅつしない	がいしゅつする	がいしゅつした
かいものします	買い物します	かいものして	かいものしない	かいものする	かいものした
かんしゃします	感謝します	かんしゃして	かんしゃしない	かんしゃする	かんしゃした
きこくします	帰国します	きこくして	きこくしない	きこくする	きこくした
けっこんします	結婚します	けっこんして	けっこんしない	けっこんする	けっこんした
けんきゅうします	研究します	けんきゅうして	けんきゅうしない	けんきゅうする	けんきゅうした
ごちそうします	ごちそうします	ごちそうして	ごちそうしない	ごちそうする	ごしそうした
コピーします	コピーします	コピーして	コピーしない	コピーする	コピーした
ざんぎょうします	残業します	ざんぎょうして	ざんぎょうしない	ざんぎょうする	ざんぎょうした
さんぽします	散歩します	さんぽして	さんぽしない	さんぽする	さんぽした
しょくじします	食事します	しょくじして	しょくじしない	しょくじする	しょくじした
しんぱいします	心配します	しんぱいして	しんぱいしない	しんぱいする	しんぱいした
せいりします	整理します	せいりして	せいりしない	せいりする	せいりした
せんたくします	洗濯します	せんたくして	せんたくしない	せんたくする	せんたくした
そうじします	掃除します	そうじして	そうじしない	そうじする	そうじした
そつぎょうします	卒業します	そつぎょうして	そつぎょうしない	そつぎょうする	そつぎょうした
ねぼうします	寝坊します	ねぼうして	ねぼうしない	ねぼうする	ねぼうした
べんきょうします	勉強します	べんきょうして	べんきょうしない	べんきょうする	べんきょうした
ほうこくします	報告します	ほうこくして	ほうこくしない	ほうこくする	ほうこくした
よやくします	予約します	よやくして	よやくしない	よやくする	よやくした
れんしゅうします	練習します	れんしゅうして	れんしゅうしない	れんしゅうする	れんしゅうした
れんらくします	連絡します	れんらくして	れんらくしない	れんらくする	れんらくした

