假名	词性	汉字	含义
わたし	代词	私	我
わたしたち	代词	わたしたち	我们
あなた	代词	あなた	你，妳
あのひと	代词	あの人	他，她，那个人
みなさん	代词	皆さん	各位，大家
～さん	代词	～さん	～先生，～小姐，～女士
～ちゃん	代词	～ちゃん	用于小孩的名字后
～くん	代词	～君	～君（男性称呼晚辈或同辈用，不如"さん"礼貌）
～じん	代词	～じん	～人（表国籍）
せんせい	代词	先生	医师（对医生的称呼）
きょうし	代词	教師	教师
がくせい	代词	学生	学生
かいしゃいん	代词	会社員	公司职员
しゃいん	代词	社員	～公司的职员（和公司名称一起使用）
ぎんこういん	代词	銀行員	银行员
いしゃ	代词	医者	医生
けんきゅうしゃ	代词	研究者	研究人员
エンジニア	代词	エンジニア	工程师
だいがく	代词	大学	大学
びょういん	代词	病院	医院
でんき	代词	電気	电，电灯
だれ（どなた）	代词	だれ（どなた）	谁（哪位）（“どなた”是“だれ”的礼貌形）
…さい	代词	…歳	…岁
なんさい	代词	何歳	几岁（おいくつ）（“おいくつ”是“なんさい”的礼貌形）
はい	代词	はい	是，对
いいえ	代词	いいえ	不，不是
しつれいですが	代词	失礼ですが	冒昧请教一下
おなまえは？	代词	お名前は？	您贵姓？
はじめまして。	代词	初めまして。	初次见面。（第一次见面时的寒喧）
どうぞよろしく［おねがいします］。	代词	どうぞよろしく［お願いします］。	请多关照。（第一次见面的问候语）
こちらは～さんです。	代词	こちらは～さんです。	这位是～先生/小姐。
～からきました。	代词	～から来ました。	我从～來。
これ	代词	これ	这（事物近己方）
それ	代词	それ	那（事物近对方）
あれ	代词	あれ	那（事物在远方）
この～	代词	この～	这（近己方）
その～	代词	その～	那（近对方）
あの～	代词	あの～	那（远方）
ほん	代词	本	书本，书籍
じしょ	代词	辞書	词典
ざっし	代词	雑誌	杂志
しんぶん	代词	新聞	报纸
ノート	代词	ノート	笔记本
てちょう	代词	手帳	记事本
めいし	代词	名刺	名片
えんぴつ	代词	鉛筆	铅笔
ボールペン	代词	ボールペン	原子笔
シャープペンシル	代词	シャープペンシル	自动铅笔
かぎ	代词	かぎ	钥匙
とけい	代词	時計	钟表
かさ	代词	傘	伞
かばん	代词	かばん	书包，手提包，皮包
テープ	代词	テープ	录音带
テープレコーダー	代词	テープレコーダー	录音机
テレビ	代词	テレビ	电视
ラジオ	代词	ラジオ	收音机
カメラ	代词	カメラ	照相机
コンピューター	代词	コンピューター	电脑
じどうしゃ	代词	自動車	汽车
つくえ	代词	机	桌子
いす	代词	いす	椅子
チョコレート	代词	チョコレート	巧克力
コーヒー	代词	コーヒー	咖啡
えいご	代词	英語	英语
にほんご	代词	日本語	日语
チェコご	名词	～語	捷克语
なに	代词	何	什么
そう	代词	そう	是的
ちがいます。	代词	違います。	不对。/不是。
そうですか。	代词	そうですか。	我了解了/是吗？
あのう	代词	あのう	嗯（用于表示躊躇）
ほんのきもちです。	代词	ほんのきもちです。	小意思。/只是一点心意。ほんの気持ちです。
どうぞ。	代词	どうぞ。	请。/给你
どうも。	代词	どうも。	谢了。
［どうも］ありがとう［ございます］。	代词	［どうも］ありがとう［ございます］。	（非常）谢谢你。
そこ	代词	そこ	那里，那个地方
あそこ	代词	あそこ	那里，那个地方
どこ	代词	どこ	哪里，哪个地方
こちら	代词	こちら	这边（“ここ”的礼貌形）
そちら	代词	そちら	那里
あちら	代词	あちら	那边（“あちら”的礼貌形）
どちら	代词	どちら	哪边（自二选一）
きょうしつ	代词	教室	教室
しょくどう	代词	食堂	餐厅，食堂
じむしょ	代词	事務所	办公室
かいぎしつ	代词	会議室	会议室
うけつけ	代词	受付	传达室，接待
ロビー	名词	ロビー	大厅
へや	代词	部屋	房间
トイレ（おてあらい）	代词	トイレ（お手洗い）	厕所（洗手间）
かいだん	代词	階段	楼梯
エレベーター	代词	エレベーター	电梯
［お］くに	代词	［お］国	贵国
かいしゃ	代词	会社	公司
うち	代词	うち	家，房子
でんわ	代词	電話	电话，电话呼叫
くつ	代词	靴	鞋子
ネクタイ	代词	ネクタイ	领带
ワイン	代词	ワイン	葡萄酒
たばこ	代词	たばこ	香烟
うりば	代词	売り場	柜台，卖场
ちか	代词	地下	地下
…かい	代词	…階	…楼
なんがい	代词	何階	几楼
…えん	代词	…円	?日元
いくら	代词	いくら	多少钱
ひゃく	代词	百	百
せん	代词	千	千
まん	代词	万	万
おきます	代词	起きます	起床，起来
ねます	代词	寝ます	睡觉，就寝
はたらきます	代词	働きます	工作
やすみます	代词	休みます	向〔公司〕请假［かいしゃを～］［会社を～］
べんきょうします	代词	勉強します	念书，用功
おわります	代词	終わります	结束
デパート	代词	デパート	百货公司
ぎんこう	代词	銀行	银行
ゆうびんきょく	代词	郵便局	邮局
としょかん	代词	図書館	图书馆
びじゅつかん	代词	美術館	美术馆
いま	代词	今	现在
…じ	代词	…時	…点（钟）
…ふん（…ぷん）	代词	…分	…分（钟）
はん	代词	半	半
なんじ	代词	何時	几点
なんぷん	代词	何分	几分
ごぜん	代词	午前；早晨	上午
ごご	代词	午後	下午
あさ	代词	朝	早上
ひる	代词	昼	白天，中午
ばん（よる）	代词	晩（夜）	晚上，夜晚
おととい	代词	おととい	前天
きのう	代词	きのう	昨天
きょう	代词	きょう	今天
あした	代词	あした	明天
あさって	代词	あさって	后天
けさ	代词	けさ	今天早上
こんばん	代词	今晩	今天晚上
やすみ	代词	休み	休息，休假
ひるやすみ	代词	昼休み	午休
まいあさ	代词	毎朝	每天早上
まいばん	代词	毎晩	每天晚上
まいにち	代词	毎日	每天
げつようび	代词	月曜日	星期一
かようび	代词	火曜日	星期二
すいようび	代词	水曜日	星期三
もくようび	代词	木曜日	星期四
きんようび	代词	金曜日	星期五
どようび	代词	土曜日	星期六
にちようび	代词	日曜日	星期天
なんようび	代词	何曜日	星期几
ばんごう	代词	番号	号码
なんばん	代词	何番	几号
～から	代词	～から	因为～
～まで	代词	～まで	到～
～と～	代词	～と～	和（用于连接名词）
そちら	代词	そちら	那里
たいへんですね。	代词	大変ですね。	够呛。/（表示同情和慰问对方的心情）
え―と	代词	え―と	嗯，我看看
いきます	代词	行きます	去
きます	代词	来ます	来
かえります	代词	帰ります	回家，回去
がっこう	代词	学校	学校
スーパー	代词	スーパー	超级市场
えき	代词	駅	车站;火车站
ひこうき	代词	飛行機	飞机
ふね	代词	船	船
でんしゃ	代词	電車	电车
ちかてつ	代词	地下鉄	地下铁
しんかんせん	代词	新幹線	新干线
バス	代词	バス	公车，巴士
タクシー	代词	タクシー	计程车
じてんしゃ	代词	自転車	自行车，脚踏车
あるいて	代词	歩いて	步行
