假名	词性	汉字	含义
はじめまして	寒暄词	初めまして	初次见面
こんばんは	寒暄词	こんばんは	您好(晚间用的寒暄语)
しばらくですね	寒暄词	しばらくですね	好几天不见了
おあずかりします	寒暄词	お預かりします	收您
けっこうです	寒暄词	けっこうです	不用，不要
いってらっしゃい	寒暄词	行ってらっしゃい	走好
はいふく	寒暄词	拝復	敬复者
はじめまして	寒暄词	初めまして	初次见面
よろしくおねがいします	寒暄词	よろしくおねがいします	请多多关照
おげんきですか	寒暄词	お元気ですか	你好吗
おかげさまでげんきです	寒暄词	おかげさまでげんきです	谢谢，我很好
おはようございます	寒暄词	おはようございます	早上好
バイバイ	寒暄词	バイバイ	再见
かしこまりました	寒暄词	畏まりました	（表示恭敬地接受吩咐）知道了
おそまつさまでした	寒暄词	お粗末様でした	（饭后主人说的客气话）怠慢了
ようこそいらっしゃいました	寒暄词	ようこそいらっしゃいました	（寒暄语）欢迎光临
おまちどおさま	寒暄词	お待ち遠様	让您久等了
ここ～	惯用语	ここ	～近～，最近～
チャンス	惯用语	チャンス	机会，机遇
こんにちは	惯用语	こんにちは	你好
ここ～	惯用语	ここ	～近～，最近～
いらっしゃいませ	惯用语	いらっしゃいませ	欢迎光临
どうぞ	惯用语	どうぞ	请
すみません	惯用语	すみません	对不起，请问
かしこまりました	惯用语	かしこまりました	我知道了
おだいじに	惯用语	お大事に	请多保重
かまいません	惯用语	かまいません	没关系，不要紧
そうだんにのる	惯用语	相談に乗る	商量，征求意见
できるだけ	惯用语	できるだけ	尽量，尽可能
けんぶんをひろめる	惯用语	見聞を広める	长见识，扩大眼界
このごろ	惯用语	このごろ	最近，近来，最近时期
べんぎをはかる	惯用语	便宜を図る	提供方便
ごはんをたく	惯用语	御飯をたく	煮饭
そざい	惯用语	素材	材料，素材
かわをかける	惯用语	皮をかける	披着皮
はしをかける	惯用语	橋をかける	架桥
こしをぬかす	惯用语	腰を抜かす	惊呆
けいかくをたてる	惯用语	計画をたてる	作出计划
このまま	惯用语	このまま	就这样，照这样，如此
なんといっても	惯用语	何と言っても	首先是，无论如何
くらべものにならない	惯用语	比べものにならない	不能相提并论，不可同日而语
すみません	惯用语	すみません	对不起，请问
こちらこそ	惯用语	こちらこそ	我才要（请您～）
どうぞ	惯用语	どうぞ	请
ここ～	惯用语	ここ	～近～，最近～
ありがとうございます	惯用语	ありがとうございます	谢谢
どういたしまして	惯用语	どういたしまして	没关系
はじめまして	惯用语	はじめまして	初次见面
ごめんください	惯用语	ごめんください	再见
どうぞ	惯用语	どうぞ	请
おじゃましました	惯用语	お邪魔しました	打扰了
かいとうらんま	惯用语	快刀乱麻	快刀斩乱麻
ごりむちゅう	惯用语	五里霧中	五里雾中
くびをかしげる	惯用语	首を傾げる	因吃不准而思考
このまえ	惯用语	この前	前几天，之前，最近
あけましておめでとうございます	惯用语	明けましておめでとうございます	恭贺新禧，新年好
くちにあう	惯用语	口に合う	合口味
このごろ	惯用语	このごろ	最近，近来，最近时期
おまたせしました	惯用语	お待たせしました	让您久等了
おつかれさまでした	惯用语	お疲れ様でした	够累的
おめでとうございます	惯用语	おめでとうございます	恭喜，恭贺
なんとか	惯用语	何とか	无论如何，想方设法，千方百计
もうしあげる	惯用语	申し上げる	同いたす
たかねのはな	惯用语	高嶺の花	高不可攀
てにあせをにぎる	惯用语	手に汗を握る	捏一把汗
ひゃくぶんはいっけんにしかず	惯用语	百聞は一見にしかず	百闻不如一见
きになる	惯用语	気になる	有意，有心；担心，挂念
かならずしも	惯用语	必ずしも	未必，不一定
きにする	惯用语	気にする	介意．关心．留心
このへん	惯用语	この辺	这一带，这附近，这儿
あたまがあがらない	惯用语	頭が上がらない	抬不起头来
いっかんのおわり	惯用语	一巻の終わり	完了（再也无从着手），了结（一生）
いいんかい	惯用语	委員会	委员会
げんど	惯用语	限度	限度，界限，范围
ばかにならない	惯用语	ばかにならない	不可小看
あっというまに	惯用语	あっと言う間に	一眨眼功夫
くちをつぐむ	惯用语	口をつぐむ	闭口
いきをのむ	惯用语	息を飲む	倒吸一口冷气
もうしあげる	惯用语	申し上げる	同いたす
ギャンブル	惯用语	ギャンブル	赌博，投机
ひとやくかう	惯用语	一役買う	自动承担任务
みみにする	惯用语	耳にする	听到
たびのはじはかきすて	惯用语	旅の恥はかき捨て	出门在外，不怕丢脸
