假名	词性	汉字	含义
にぎやかだ	形容动词	にぎやかだ	热闹
しずかだ	形容动词	静かだ	安静
ひまだ	形容动词	暇だ	闲，闲暇
ゆうめいだ	形容动词	有名だ	有名
さいこう	形容动词	最高	最好，最高
いろいろだ	形容动词	いろいろだ	各种各样的
しんせつだ	形容动词	親切だ	热忱
きれいだ	形容动词	きれいだ	美丽
すきだ	形容动词	好きだ	喜欢
じょうずだ	形容动词	上手だ	(某种技术)好，擅长
べんりだ	形容动词	便利だ	方便
かいてきだ	形容动词	快適だ	舒适，舒服
さかんだ	形容动词	盛んだ	盛行
あざやかだ	形容动词	鮮やかだ	鲜艳
さわやかだ	形容动词	さわやかだ	清爽，爽快
はんたいだ	形容动词	反対だ	相反
だいひょうてきだ	形容动词	代表的だ	有代表性的，典型的
かんたんだ	形容动词	簡単だ	简单，简易
らくだ	形容动词	楽だ	轻松，舒适
ほうふだ	形容动词	豊富だ	丰富
へただ	形容动词	下手だ	不擅长
いい	形容动词	良い	好的
にがてだ	形容动词	苦手だ	不擅长
とくいだ	形容动词	得意だ	拿手，擅长
きがるだ	形容动词	気軽だ	无拘束，爽快
ゆうしゅうだ	形容动词	優秀だ	优秀
げんきだ	形容动词	元気だ	精神饱满
ほがらかだ	形容动词	朗らかだ	开朗
ばめん	形容动词	場面	场景，场面
てきとうだ	形容动词	適当だ	适当，合适
とくべつ	形容动词	特別	特别
らんぼうだ	形容动词	乱暴だ	粗暴
しんせんだ	形容动词	新鮮だ	新鲜
でんとうてきだ	形容动词	伝統的だ	传统的
しあわせだ	形容动词	幸せだ	幸福
かわいそうだ	形容动词	かわいそうだ	可怜
りっぱだ	形容动词	立派だ	杰出，优秀
ちょっとした	形容动词	ちょっとした	一点点，有点，稍微
へいきだ	形容动词	平気だ	不在乎，镇静
がんじょうだ	形容动词	頑丈だ	坚固
あんぜん	形容动词	安全	安全
いやだ	形容动词	いやだ	讨厌，不喜欢
ようきだ	形容动词	陽気だ	爽朗，开朗
だめだ	形容动词	だめだ	不行
たっぷり	形容动词	たっぷり	满……，充分，足够
ぜいたくだ	形容动词	ぜいたくだ	过分
すてきだ	形容动词	すてきだ	极好，美丽
げんそうてきだ	形容动词	幻想的だ	具有幻想色彩
こうかてきだ	形容动词	効果的だ	有效果
ぎじゅつてきな	形容动词	技術的な	技术上的
こじんてきな	形容动词	個人的な	个人的
ごうりてきだ	形容动词	合理的だ	合理
せっきょくてきだ	形容动词	積極的だ	积极
しょうきょくてきだ	形容动词	消極的だ	消极
ぐたいてきだ	形容动词	具体的だ	具体
ちゅうしょうてきだ	形容动词	抽象的だ	抽象
ふへんてきだ	形容动词	普遍的だ	普遍
しゅかんてきだ	形容动词	主観的だ	主观
きゃっかんてきだ	形容动词	客観的だ	客观
きゅうげきだ	形容动词	急激だ	剧烈
こうどだ	形容动词	高度だ	高度
しんこくだ	形容动词	深刻だ	严重
しんけんだ	形容动词	真剣だ	认真
みごとだ	形容动词	見事だ	漂亮，精彩
こうだいだ	形容动词	広大だ	辽阔，宏大
きゅうだ	形容动词	急だ	湍急
せいみつだ	形容动词	精密だ	精密
とうぜん	形容动词	当然	当然，应当
しゅんかんてきだ	形容动词	瞬間的だ	一瞬间
きょだいだ	形容动词	巨大だ	巨大
ぼうだいだ	形容动词	膨大だ	庞大
ふかのうだ	形容动词	不可能だ	不可能
じょうけん	形容动词	条件	条件，提前
ひやくてきだ	形容动词	飛躍的だ	飞跃
いいかげんだ	形容动词	いいかげんだ	靠不住，敷衍
じどうてきだ	形容动词	自動的だ	自动
しょうじきだ	形容动词	正直だ	老实，正直
はでだ	形容动词	派手だ	华丽
へた	形容动词	下手	不高明，水平低
いい	形容动词	良い	好的
らく	形容动词	楽	容易，简易；快乐，轻松
げんき	形容动词	元気	健康，有精神
べんり	形容动词	便利	方便
きれい	形容动词	綺麗	漂亮的,干净的
りっぱ	形容动词	立派	美观，杰出
にぎやか	形容动词	賑やか	热闹的
ゆうめい	形容动词	有名	有名
いい	形容动词	良い	好的
すごい	形容动词	凄い	很甚的，好得很的
たいへん	形容动词	大変	够受的，不得了
しんせつ	形容动词	親切	热情
しずか	形容动词	静か	安静
しんせん	形容动词	新鮮	新鲜
たいへん	形容动词	大変	够受的，不得了
すき	形容动词	好き	喜欢
だいすき	形容动词	大好き	非常喜欢
きらい	形容动词	嫌い	讨厌
ゆたか	形容动词	豊か	充裕，丰富
とくい	形容动词	得意	擅长
にがて	形容动词	苦手	不擅长，不善于
このよう	形容动词	このよう	这样，如此
かって	形容动词	勝手	任意，随便
ささやか	形容动词	ささやか	一些，微薄的
しゃこうてき	形容动词	社交的	社交性的
たいせつ	形容动词	大切	重要，珍贵
ていねい	形容动词	丁寧	精心，细心，恭敬
けっこう	形容动词	結構	很好，优秀；足够；不必
とくべつ	形容动词	特別	特别
たのしみ	形容动词	楽しみ	愉快，期待
あんぜん	形容动词	安全	安全
だいじょうぶ	形容动词	大丈夫	没关系，放心
ねんがじょう	形容动词	年賀状	贺年卡
ひじょう	形容动词	非常	非常
ひつよう	形容动词	必要	必要，必须
ふしぎ	形容动词	不思議	不可思议，奇怪
まずい	形容动词	不味い	不好吃
おめでたい	形容动词	おめでたい	可喜可贺，值得庆贺
ひま	形容动词	暇	空闲
きゅう	形容动词	急	突然；紧急
いや	形容动词	厭(嫌)	讨厌
だいじ	形容动词	大事	重要，宝贵
おそろしい	形容动词	恐ろしい	可怕的，可怖的
かんたん	形容动词	簡単	简单
どのよう	形容动词	どのよう	如何，怎样
じどうてき	形容动词	自動的	自动的
しんこく	形容动词	深刻	严肃，严重；深刻
きゅうそく	形容动词	急速	迅速，快速
ざんねん	形容动词	残念	可惜，遗憾
すてき	形容动词	素敵	极好，极漂亮
くるしい	形容动词	苦しい	痛苦，苦
じょうぶ	形容动词	丈夫	牢固，结实
ゆういぎ	形容动词	有意義	有意义
だめ	形容动词	駄目	白费，不行
じゆう	形容动词	自由	随便，自由
かっぱつ	形容动词	活発	活泼，活跃
らんぼう	形容动词	乱暴	粗暴
こうこつ	形容动词	恍惚	年老神志不清，恍惚
たしか	形容动词	確か	确实，确切；大概
ぶんかてき	形容动词	文化的	文化（的），有教养（的)
おおはば	形容动词	大幅	大幅（度），广泛
ようい	形容动词	容易	容易
じょうけん	形容动词	条件	条件，提前
ふべん	形容动词	不便	不方便
じゅうよう	形容动词	重要	重要
みぢか	形容动词	身近	切身，身边
じょうひん	形容动词	上品	高雅的
へいわ	形容动词	平和	和平
めざましい	形容动词	目覚しい	惊人的，异常显著
きんだいてき	形容动词	近代的	近代的
きがかり	形容动词	気がかり	担心，惦念，挂念
きほんてき	形容动词	基本的	基本的
スムーズ	形容动词	スムーズ	顺利，流畅
けっかてき	形容动词	結果的	从结果来看
にほんてき	形容动词	日本的	日本式的
としん	形容动词	都心	城市中心
