いまに	不久，即将，至今，直到现在
おもに	只要，大部分，多半
げんに	实际上，真实地，严格的
さきに	不久前，从前，以前
さらに	再，进一步，愈发
じかに	直接地Q
じつに	的确，实在，简直
すぐに	立即，马上
たまに	有时，偶尔
たんに	只，仅，单
つねに	平时，常常，经常
とくに	特别，特
ともに	一起，共同，同时
べつに	另外，除外
まさに	的确，确实
いちどに	同时，一下子，一起  
おおいに	很，甚，非常，很多
きっと	一定，必然
さっき	刚刚，刚才
すっと	轻快地；顺利地
ずっと	一直；更......
たった	只，仅仅
どっと	许多人一起发声音
もっと	更加，进一步
やっと	终于，好不容易，勉勉强强
あまり	不大......不怎么......（接否定）；很......
かなり	相当，很，颇
つまり	总之，归根结底
やはり	依然，仍然；也
あんまり	あまり的口语
うっかり	稀里糊涂，不注意
がっかり	失望，颓丧，精疲力竭
ぎっしり	挤得满满的，装的满满的
こっそり	悄悄的，偷偷的
さっぱり	（后接否定）完全不......一点不.....
しっかり	紧紧的，充分的
すっきり	痛快，无烦心事；流畅，通畅
そっくり	全部，完全；照原样，一模一样
たっぷり	足够，足足，宽绰，绰绰有余
にっこり	微笑，莞尔，高兴微笑貌
のんびり	舒舒服服，无忧无虑
はっきり	清楚，分明，清爽
びっくり	吃惊，受惊
ぴったり	紧密的，严实的
ぼんやり	不清楚，模模糊糊
やっぱり	仍然，果然
ゆっくり	不着急，慢慢；有余的
おもいっきり	（おもいきり的口语）
いきいき      	活泼，栩栩如生，生动
いちいち  	 逐一，逐个；全部
いよいよ   	终于，到底；越加
いらいら   	焦急，焦躁，坐立不安；刺痛（考过很多次！）
うろうろ   	徘徊，无目标的走来走去
おのおの   	各个，各自
かたがた   	一方面，不管怎样
しばしば   	屡次，再三，一再
じょじょに   	慢慢地，渐渐地
すきずき   	各有所好
せいぜい   	至多，充其量
ぞくぞく   	心情激动；浑身发冷
それぞれ　  	各个，各自，每个
そろそろ   	就要，不久；渐渐地，逐渐
たびたび  	 屡次，多次，再三
たまたま  	 偶尔，有时；碰巧，偶然
だんだん   	逐渐，渐渐
ちかぢか   	最近，不久，直接
つぎつぎに   	依次，顺次，陆续
でこぼこ   	凹凸不平；不一致，不均衡
てんてん   	点点，星星点点状
とうとう   	终于，终究，结局，到头
ときどき   	时时，有时
どんどん  	 连续不断貌；事物进展顺利貌
なかなか   	相当，很；（接否定）不容易......
にこにこ  	 笑嘻嘻地，高兴微笑状
のろのろ   	动作迟缓，不敏捷，事物进展缓慢
はきはき  	 聪敏，干脆，爽快
ぴかぴか   	闪闪，反复发光的样子，光亮
ひろびろ  	 开阔，广阔，辽阔
ぶつぶつ  	 嘟哝，发牢骚，抱怨，零零碎碎
ふわふわ   	 轻飘飘的样子，心情浮躁
べつべつ   	 分开，各自
まあまあ   	 好了好了，得了；大致，还算
まごまご   	 不知所措，手忙脚乱，张皇失措
ますます   	 越发，更加
めいめい   	 各自，各个，每个人
もともと   	 原本，本来
ゆうゆう   	 悠闲；遥远，广阔 
じゅんじゅん  	  按顺序，依次；谨慎，惶恐；谆谆
しょうしょう   	 稍许，一点
ちゃくちゃく  	  稳健而顺利地
ところどころ   	 处处，到处
一応（いちおう）	大致，大体，首先，暂且
一時（いちじ）	一时，同时，一下子，一起
一段と（いちたんと）	更加，越发
一度に（いちどに）	同时，一下子
一番（いちばん）	最，最好，试试，试一下
一部（いちぶ）	一部分
一種（いっしゅ）	稍微
一瞬（いっしゅん）	一刹那，一瞬间
一体（いったい）	究竟，到底，总的来说、
一斉に(いっせいに)	一齐，同时
一般に(いっぱんに)	一般的，普遍的
一定(いってい)	一定，适度
一方(いっぽう)	另一方面，又
一生懸命(いっしょうげんめい)	拼命，努力
再三(さいさん)	屡次，再三
第一に(だいいちに)	首先
